"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1775","Check displaying of dashboard page","LMS system","2026-09-18","passed","2026-09-18","Дашборд","Дашборд","",""
"","0","test_password_reset","tests.pytest","2026-09-18","passed","2026-09-18","TestUserAutentication","test_markers","",""
"","2182","User login with wrong email or password","LMS system","2026-09-18","passed","2026-09-18","Авторизация","Аутентификация","",""
"","0","test_forgot_password_link","tests.pytest","2026-09-18","passed","2026-09-18","TestUserInterface","test_markers","",""
"","3915","Check edit course","LMS system","2026-09-18","passed","2026-09-18","Курсы","Курсы","",""
"","1714","Check displaying of empty courses list","LMS system","2026-09-18","passed","2026-09-18","Курсы","Курсы","",""
"","0","test_logout","tests.pytest","2026-09-18","passed","2026-09-18","TestUserAutentication","test_markers","",""
"","0","test_critical_login","tests.pytest","2026-09-18","passed","2026-09-18","","test_markers","",""
"","4447","User login with correct email and password","LMS system","2026-09-18","passed","2026-09-18","Авторизация","Аутентификация","",""
"","3557","Create course","LMS system","2026-09-18","passed","2026-09-18","Курсы","Курсы","",""
"","1863","User login with wrong email or password","LMS system","2026-09-18","passed","2026-09-18","Авторизация","Аутентификация","",""
"","0","test_login","tests.pytest","2026-09-18","passed","2026-09-18","TestUserAutentication","test_markers","",""
"","1653","Navigation from login page to registration page","LMS system","2026-09-18","passed","2026-09-18","Авторизация","Аутентификация","",""
"","0","test_regression_case","tests.pytest","2026-09-18","passed","2026-09-18","","test_markers","",""
"","2178","User login with wrong email or password","LMS system","2026-09-18","passed","2026-09-18","Авторизация","Аутентификация","",""
"","2464","Registration with correct email, username and password","LMS system","2026-09-18","passed","2026-09-18","Регистрация","Аутентификация","",""
